,year,id_,marital,agewed,divorce,hapmar,zodiac,ballot
22495,1988,621,Married,18,YES,PRETTY HAPPY,Aries,Ballot c
22496,1988,622,Married,21,YES,VERY HAPPY,Aries,Ballot b
22499,1988,625,Married,24,NO,PRETTY HAPPY,Leo,Ballot b
22501,1988,627,Married,19,NO,PRETTY HAPPY,Taurus,Ballot a
22505,1988,631,Married,22,NO,VERY HAPPY,Taurus,Ballot b
22506,1988,632,Married,24,NO,VERY HAPPY,Leo,Ballot c
22511,1988,637,Married,20,YES,VERY HAPPY,Aries,Ballot c
22513,1988,639,Married,16,NO,VERY HAPPY,Libra,Ballot b
22514,1988,640,Married,21,NO,PRETTY HAPPY,Taurus,Ballot a
22515,1988,641,Married,24,NO,VERY HAPPY,Gemini,Ballot c
22516,1988,642,Married,20,NO,VERY HAPPY,Taurus,Ballot c
22517,1988,643,Married,18,NO,VERY HAPPY,Scorpio,Ballot b
22525,1988,651,Married,23,NO,VERY HAPPY,Capricorn,Ballot a
22526,1988,652,Married,20,NO,PRETTY HAPPY,Libra,Ballot c
22532,1988,658,Married,21,NO,VERY HAPPY,Pisces,Ballot b
22539,1988,665,Married,33,NO,VERY HAPPY,Sagittarius,Ballot b
22540,1988,666,Married,28,NO,VERY HAPPY,Gemini,Ballot a
22544,1988,670,Married,23,NO,VERY HAPPY,Taurus,Ballot b
22545,1988,671,Married,18,NO,PRETTY HAPPY,Leo,Ballot a
22546,1988,672,Married,19,YES,VERY HAPPY,Leo,Ballot b
22547,1988,673,Married,23,NO,VERY HAPPY,Capricorn,Ballot b
22548,1988,674,Married,21,NO,VERY HAPPY,Leo,Ballot c
22549,1988,675,Married,35,NO,VERY HAPPY,Capricorn,Ballot b
22551,1988,677,Married,31,NO,VERY HAPPY,Aries,Ballot a
22553,1988,679,Married,27,NO,PRETTY HAPPY,Taurus,Ballot c
22555,1988,681,Married,21,NO,PRETTY HAPPY,Gemini,Ballot a
22557,1988,683,Married,16,NO,VERY HAPPY,Pisces,Ballot a
22558,1988,684,Married,20,NO,PRETTY HAPPY,Aquarius,Ballot c
22559,1988,685,Married,22,NO,VERY HAPPY,Pisces,Ballot a
22562,1988,688,Married,18,NO,VERY HAPPY,Gemini,Ballot a
22563,1988,689,Married,19,NO,NOT TOO HAPPY,Pisces,Ballot a
22564,1988,690,Married,27,NO,VERY HAPPY,Sagittarius,Ballot b
22565,1988,691,Married,22,NO,VERY HAPPY,Taurus,Ballot b
22566,1988,692,Married,20,NO,VERY HAPPY,Sagittarius,Ballot b
22568,1988,694,Married,23,NO,NOT TOO HAPPY,Pisces,Ballot b
22569,1988,695,Married,22,NO,VERY HAPPY,Pisces,Ballot c
22570,1988,696,Married,24,NO,PRETTY HAPPY,Leo,Ballot a
22573,1988,699,Married,18,NO,NOT TOO HAPPY,Sagittarius,Ballot b
22574,1988,700,Married,24,YES,PRETTY HAPPY,Pisces,Ballot a
22577,1988,703,Married,25,NO,VERY HAPPY,Libra,Ballot b
22578,1988,704,Married,19,NO,PRETTY HAPPY,Aries,Ballot a
22579,1988,705,Married,23,NO,VERY HAPPY,Cancer,Ballot b
22585,1988,711,Married,23,NO,VERY HAPPY,Virgo,Ballot a
22586,1988,712,Married,20,NO,VERY HAPPY,Taurus,Ballot a
22587,1988,713,Married,26,NO,PRETTY HAPPY,Aries,Ballot a
22589,1988,715,Married,20,NO,NOT TOO HAPPY,Libra,Ballot b
22590,1988,716,Married,22,NO,VERY HAPPY,Aquarius,Ballot c
22591,1988,717,Married,20,NO,VERY HAPPY,Scorpio,Ballot b
22592,1988,718,Married,21,NO,VERY HAPPY,Leo,Ballot c
22593,1988,719,Married,17,NO,PRETTY HAPPY,Pisces,Ballot b
22594,1988,720,Married,24,NO,VERY HAPPY,Sagittarius,Ballot b
22595,1988,721,Married,19,NO,VERY HAPPY,Scorpio,Ballot c
22596,1988,722,Married,23,NO,VERY HAPPY,Capricorn,Ballot c
22597,1988,723,Married,26,YES,PRETTY HAPPY,Libra,Ballot c
22598,1988,724,Married,21,NO,PRETTY HAPPY,Sagittarius,Ballot b
22599,1988,725,Married,18,YES,PRETTY HAPPY,Capricorn,Ballot c
22600,1988,726,Married,16,NO,VERY HAPPY,Scorpio,Ballot a
22602,1988,728,Married,20,NO,VERY HAPPY,Scorpio,Ballot c
22603,1988,729,Married,19,NO,VERY HAPPY,Leo,Ballot b
22604,1988,730,Married,24,YES,PRETTY HAPPY,Capricorn,Ballot b
22606,1988,732,Married,20,YES,PRETTY HAPPY,Aries,Ballot a
22611,1988,737,Married,23,NO,VERY HAPPY,Gemini,Ballot b
22612,1988,738,Married,23,NO,PRETTY HAPPY,Aquarius,Ballot a
22613,1988,739,Married,24,NO,PRETTY HAPPY,Virgo,Ballot c
22615,1988,741,Married,17,NO,VERY HAPPY,Sagittarius,Ballot c
22617,1988,743,Married,26,NO,VERY HAPPY,Leo,Ballot b
22620,1988,746,Married,22,NO,PRETTY HAPPY,Aquarius,Ballot c
22633,1988,759,Married,24,NO,PRETTY HAPPY,Scorpio,Ballot b
22634,1988,760,Married,18,NO,VERY HAPPY,Scorpio,Ballot b
22635,1988,761,Married,19,NO,VERY HAPPY,Aries,Ballot c
22636,1988,762,Married,20,NO,PRETTY HAPPY,Capricorn,Ballot c
22637,1988,763,Married,18,NO,VERY HAPPY,Cancer,Ballot c
22638,1988,764,Married,22,NO,VERY HAPPY,Taurus,Ballot c
22639,1988,765,Married,18,YES,NOT TOO HAPPY,Aries,Ballot a
22640,1988,766,Married,23,NO,PRETTY HAPPY,Virgo,Ballot c
22641,1988,767,Married,19,NO,VERY HAPPY,Gemini,Ballot a
22645,1988,771,Married,22,NO,VERY HAPPY,Virgo,Ballot c
